LSOA11Code,MSOA11Code,MSOA11Name
E01007110,E02001501,Higher Bebington
E01007111,E02001498,Woodhey
E01007112,E02001498,Woodhey
E01007113,E02001498,Woodhey
E01007114,E02001498,Woodhey
E01007115,E02001497,Bebington New Ferry
E01007116,E02001498,Woodhey
E01007117,E02001501,Higher Bebington
E01007118,E02001501,Higher Bebington
E01007119,E02001485,Noctorum North & Upton East
E01007120,E02001477,Bidston Hill
E01007121,E02001477,Bidston Hill
E01007122,E02001477,Bidston Hill
E01007123,E02001477,Bidston Hill
E01007124,E02001477,Bidston Hill
E01007125,E02001481,Claughton North
E01007129,E02001482,Birkenhead Central
E01007131,E02001487,Birkenhead South
E01007135,E02001505,Bromborough North
E01007136,E02001505,Bromborough North
E01007137,E02001505,Bromborough North
E01007139,E02001497,Bebington New Ferry
E01007141,E02001497,Bebington New Ferry
E01007142,E02001502,Lower Bebington & Bromborough Pool
E01007143,E02001502,Lower Bebington & Bromborough Pool
E01007144,E02001504,"Poulton, Raby Mere & Thornton Hough"
E01007145,E02001504,"Poulton, Raby Mere & Thornton Hough"
E01007146,E02001504,"Poulton, Raby Mere & Thornton Hough"
E01007147,E02001504,"Poulton, Raby Mere & Thornton Hough"
E01007148,E02001504,"Poulton, Raby Mere & Thornton Hough"
E01007149,E02001507,Bromborough South
E01007150,E02001507,Bromborough South
E01007151,E02001501,Higher Bebington
E01007152,E02001502,Lower Bebington & Bromborough Pool
E01007153,E02001502,Lower Bebington & Bromborough Pool
E01007154,E02001501,Higher Bebington
E01007155,E02001486,Claughton South & Oxton North
E01007156,E02001481,Claughton North
E01007157,E02001481,Claughton North
E01007158,E02001481,Claughton North
E01007159,E02001481,Claughton North
E01007160,E02001486,Claughton South & Oxton North
E01007161,E02001485,Noctorum North & Upton East
E01007162,E02001485,Noctorum North & Upton East
E01007163,E02001490,Noctorum South
E01007164,E02001508,Eastham
E01007165,E02001507,Bromborough South
E01007166,E02001508,Eastham
E01007167,E02001508,Eastham
E01007168,E02001508,Eastham
E01007169,E02001508,Eastham
E01007170,E02001505,Bromborough North
E01007171,E02001507,Bromborough South
E01007172,E02001507,Bromborough South
E01007173,E02001495,Egerton Park
E01007174,E02001495,Egerton Park
E01007175,E02001493,Tranmere
E01007176,E02001495,Egerton Park
E01007177,E02001495,Egerton Park
E01007178,E02001495,Egerton Park
E01007179,E02001487,Birkenhead South
E01007180,E02001488,Oxton South
E01007181,E02001488,Oxton South
E01007182,E02001503,Heswall
E01007183,E02001500,Pensby & Thingwall
E01007184,E02001503,Heswall
E01007185,E02001503,Heswall
E01007186,E02001506,Gayton & Lower Heswall
E01007187,E02001506,Gayton & Lower Heswall
E01007188,E02001506,Gayton & Lower Heswall
E01007189,E02001506,Gayton & Lower Heswall
E01007190,E02001506,Gayton & Lower Heswall
E01007191,E02001506,Gayton & Lower Heswall
E01007192,E02001503,Heswall
E01007193,E02001480,Hoylake
E01007194,E02001480,Hoylake
E01007195,E02001479,Great Meols
E01007196,E02001492,West Kirby
E01007197,E02001492,West Kirby
E01007198,E02001492,West Kirby
E01007199,E02001479,Great Meols
E01007200,E02001480,Hoylake
E01007201,E02001480,Hoylake
E01007202,E02001480,Hoylake
E01007203,E02001472,Leasowe
E01007204,E02001475,Leasowe South & Moreton East
E01007205,E02001472,Leasowe
E01007206,E02001475,Leasowe South & Moreton East
E01007207,E02001475,Leasowe South & Moreton East
E01007208,E02001478,Moreton West
E01007209,E02001475,Leasowe South & Moreton East
E01007210,E02001472,Leasowe
E01007221,E02001478,Moreton West
E01007222,E02001479,Great Meols
E01007223,E02001479,Great Meols
E01007224,E02001483,Saughall Massie
E01007225,E02001478,Moreton West
E01007226,E02001483,Saughall Massie
E01007227,E02001478,Moreton West
E01007228,E02001478,Moreton West
E01007239,E02001488,Oxton South
E01007240,E02001486,Claughton South & Oxton North
E01007241,E02001486,Claughton South & Oxton North
E01007242,E02001486,Claughton South & Oxton North
E01007243,E02001488,Oxton South
E01007244,E02001488,Oxton South
E01007245,E02001490,Noctorum South
E01007246,E02001490,Noctorum South
E01007247,E02001490,Noctorum South
E01007248,E02001496,Prenton
E01007249,E02001491,Woodchurch
E01007250,E02001496,Prenton
E01007251,E02001491,Woodchurch
E01007252,E02001490,Noctorum South
E01007253,E02001496,Prenton
E01007254,E02001496,Prenton
E01007255,E02001500,Pensby & Thingwall
E01007256,E02001500,Pensby & Thingwall
E01007257,E02001491,Woodchurch
E01007258,E02001494,Caldy & Newton
E01007259,E02001489,Greasby
E01007260,E02001494,Caldy & Newton
E01007261,E02001489,Greasby
E01007262,E02001494,Caldy & Newton
E01007263,E02001492,West Kirby
E01007264,E02001489,Greasby
E01007265,E02001483,Saughall Massie
E01007266,E02001489,Greasby
E01007267,E02001489,Greasby
E01007268,E02001489,Greasby
E01007279,E02001500,Pensby & Thingwall
E01007280,E02001499,Thursaston & Irby
E01007281,E02001494,Caldy & Newton
E01007282,E02001492,West Kirby
E01007283,E02001494,Caldy & Newton
E01007284,E02001499,Thursaston & Irby
E01007285,E02001499,Thursaston & Irby
E01007286,E02001500,Pensby & Thingwall
E01007287,E02001499,Thursaston & Irby
E01007288,E02001503,Heswall
E01007292,E02001487,Birkenhead South
E01007294,E02001487,Birkenhead South
E01007296,E02001493,Tranmere
E01007297,E02001484,Upton West
E01007298,E02001484,Upton West
E01007299,E02001483,Saughall Massie
E01007300,E02001485,Noctorum North & Upton East
E01007301,E02001484,Upton West
E01007302,E02001484,Upton West
E01007303,E02001491,Woodchurch
E01007304,E02001491,Woodchurch
E01007305,E02001484,Upton West
E01007306,E02001483,Saughall Massie
E01007309,E02001472,Leasowe
E01013986,E02002916,Hereford Central
E01013987,E02002915,Hereford North East
E01013988,E02002915,Hereford North East
E01013989,E02002916,Hereford Central
E01013990,E02002922,"Fownhope, Tarrington & Marcle"
E01013991,E02002922,"Fownhope, Tarrington & Marcle"
E01013992,E02002921,Hereford South West
E01013993,E02002921,Hereford South West
E01013994,E02002921,Hereford South West
E01013995,E02002921,Hereford South West
E01013996,E02002920,"Belmont, Madley & Clehonger"
E01013997,E02002920,"Belmont, Madley & Clehonger"
E01013998,E02002905,"Wigmore, Orleton & Brimfield"
E01013999,E02002908,"Shobdon, Luston & Bodenham"
E01014000,E02002909,Bromyard & Bishop's Frome
E01014001,E02002909,Bromyard & Bishop's Frome
E01014002,E02002909,Bromyard & Bishop's Frome
E01014003,E02002909,Bromyard & Bishop's Frome
E01014004,E02002909,Bromyard & Bishop's Frome
E01014005,E02002909,Bromyard & Bishop's Frome
E01014006,E02002911,"Credenhill, Weobley & Wellington"
E01014007,E02002915,Hereford North East
E01014008,E02002910,"Kington, Eardisley & Staunton"
E01014009,E02002910,"Kington, Eardisley & Staunton"
E01014010,E02002916,Hereford Central
E01014011,E02002916,Hereford Central
E01014012,E02002911,"Credenhill, Weobley & Wellington"
E01014013,E02002911,"Credenhill, Weobley & Wellington"
E01014014,E02002922,"Fownhope, Tarrington & Marcle"
E01014015,E02002909,Bromyard & Bishop's Frome
E01014016,E02002911,"Credenhill, Weobley & Wellington"
E01014017,E02002908,"Shobdon, Luston & Bodenham"
E01014018,E02002924,Golden Valley
E01014019,E02002924,Golden Valley
E01014020,E02002924,Golden Valley
E01014021,E02002924,Golden Valley
E01014022,E02002912,"Lugwardine, Withington & Moreton on Lugg"
E01014023,E02002912,"Lugwardine, Withington & Moreton on Lugg"
E01014024,E02002908,"Shobdon, Luston & Bodenham"
E01014025,E02002908,"Shobdon, Luston & Bodenham"
E01014026,E02002925,Kingstone & Kingsthorne
E01014027,E02002913,"Colwall, Cradley & Wellington Heath"
E01014028,E02002913,"Colwall, Cradley & Wellington Heath"
E01014031,E02002927,"Penyard, Llangarron & Goodrich"
E01014032,E02002927,"Penyard, Llangarron & Goodrich"
E01014033,E02002910,"Kington, Eardisley & Staunton"
E01014034,E02002910,"Kington, Eardisley & Staunton"
E01014036,E02002923,Ledbury
E01014041,E02002906,Leominster North
E01014042,E02002906,Leominster North
E01014043,E02002906,Leominster North
E01014044,E02002906,Leominster North
E01014045,E02002907,Leominster South
E01014046,E02002907,Leominster South
E01014047,E02002907,Leominster South
E01014048,E02002907,Leominster South
E01014049,E02002927,"Penyard, Llangarron & Goodrich"
E01014050,E02002927,"Penyard, Llangarron & Goodrich"
E01014051,E02002905,"Wigmore, Orleton & Brimfield"
E01014052,E02002905,"Wigmore, Orleton & Brimfield"
E01014053,E02002927,"Penyard, Llangarron & Goodrich"
E01014054,E02002922,"Fownhope, Tarrington & Marcle"
E01014055,E02002908,"Shobdon, Luston & Bodenham"
E01014056,E02002910,"Kington, Eardisley & Staunton"
E01014057,E02002927,"Penyard, Llangarron & Goodrich"
E01014058,E02002927,"Penyard, Llangarron & Goodrich"
E01014059,E02002925,Kingstone & Kingsthorne
E01014060,E02002925,Kingstone & Kingsthorne
E01014061,E02002926,Ross-on-Wye
E01014062,E02002926,Ross-on-Wye
E01014063,E02002926,Ross-on-Wye
